[17:47:19][dlc.cpp:347]: Invalid supported_version in  file: mod/ugc_2218249327.mod line: 12
[17:47:19][dlc.cpp:347]: Invalid supported_version in  file: mod/ugc_2220360707.mod line: 12
[17:47:19][dlc.cpp:347]: Invalid supported_version in  file: mod/ugc_2222839530.mod line: 7
[17:47:19][dlc.cpp:347]: Invalid supported_version in  file: mod/ugc_2229791349.mod line: 8
[17:47:19][dlc.cpp:347]: Invalid supported_version in  file: mod/ugc_2245860963.mod line: 8
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 273
" in file: "save games/Duke_Davide_of_Florentia_1130_10_31.ck3" near line: 273
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 303
" in file: "save games/Duke_Flavio_of_Florence_1071_03_15.ck3" near line: 303
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 419
" in file: "save games/Duke_Flavio_of_Florence_1074_12_23.ck3" near line: 419
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 187
" in file: "save games/Florence for EU4.ck3" near line: 187
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 389
" in file: "save games/High_Chieftain_Davide_of_Florentia_1078_06_30.ck3" near line: 389
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 273
" in file: "save games/High_Chieftain_Davide_of_Florentia_1119_05_16.ck3" near line: 273
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave.ck3" near line: 1
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave_1.ck3" near line: 1
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave_2.ck3" near line: 1
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 273
" in file: "save games/Duke_Davide_of_Florentia_1130_10_31.ck3" near line: 273
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 303
" in file: "save games/Duke_Flavio_of_Florence_1071_03_15.ck3" near line: 303
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 419
" in file: "save games/Duke_Flavio_of_Florence_1074_12_23.ck3" near line: 419
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 187
" in file: "save games/Florence for EU4.ck3" near line: 187
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 389
" in file: "save games/High_Chieftain_Davide_of_Florentia_1078_06_30.ck3" near line: 389
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 273
" in file: "save games/High_Chieftain_Davide_of_Florentia_1119_05_16.ck3" near line: 273
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave.ck3" near line: 1
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave_1.ck3" near line: 1
[17:48:00][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave_2.ck3" near line: 1
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 273
" in file: "save games/Duke_Davide_of_Florentia_1130_10_31.ck3" near line: 273
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 303
" in file: "save games/Duke_Flavio_of_Florence_1071_03_15.ck3" near line: 303
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 419
" in file: "save games/Duke_Flavio_of_Florence_1074_12_23.ck3" near line: 419
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 187
" in file: "save games/Florence for EU4.ck3" near line: 187
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 389
" in file: "save games/High_Chieftain_Davide_of_Florentia_1078_06_30.ck3" near line: 389
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 273
" in file: "save games/High_Chieftain_Davide_of_Florentia_1119_05_16.ck3" near line: 273
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave.ck3" near line: 1
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave_1.ck3" near line: 1
[17:48:27][pdx_persistent_reader.cpp:229]: Error: "Failed to read key reference: alcoa_minimum_tier_duchy: alcoa_minimum_tier_duchy, near line: 1
" in file: "save games/autosave_2.ck3" near line: 1
[17:51:14][gui_editor.cpp:695]: gui/console.gui:305 - Widget (id '2192') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:449 - Widget (id '2296') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:209 - Widget (id '2124') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:215 - Widget (id '2129') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:122 - Widget (id '2065') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:438 - Widget (id '2288') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:281 - Widget (id '2176') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:112 - Widget (id '2058') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:249 - Widget (id '2153') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:142 - Widget (id '2076') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:326 - Widget (id '2208') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:167 - Widget (id '2094') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:407 - Widget (id '2265') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:426 - Widget (id '2279') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/console.gui:429 - Widget (id '2281') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/shared/defaults.gui:131 - Widget (id '74714') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/shared/defaults.gui:131 - Widget (id '74714') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/shared/defaults.gui:131 - Widget (id '74714') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/shared/defaults.gui:131 - Widget (id '74714') has not been destroyed
[17:51:14][gui_editor.cpp:695]: gui/shared/defaults.gui:131 - Widget (id '74714') has not been destroyed
